STANFORDRATE,BERKELEYRATE,STANFORDRATECOMP,BERKELEYRATECOMP,NTRIALS,NSUCCESSES,SAMPLESIZE,THRESHOLD,BERNOULLISOLNA,BERNOULLISOLNB,BERNOULLISOLNCPROBBOTHBERKWORK,BERNOULLISOLNCPROBBOTHWORK,BERNOULLISOLNCWITHOUT,BERNOULLISOLNCWITH,NORMALMEAN,NORMALVAR,NORMALSTD,THRESHOLDCC,NORMALZ,BERNOULLISOLND,FISHRATE,FISHSCALE,FISHOFFSET,FISHEQUIV,FISHNUM,FISHPROD,FISHUSERSPROB,FISHDATAPROB,VISITORSA,VISITORSOFFSET,DPROB,DZEROLAMBA,DONELAMBA,DZEROLAMBB,DONELAMBB,VISITORSTOTAL,DZEROLAMBSUM,DONELAMBSUM,PROBDZERO,PROBSUMTOT,FLIPONE,FLIPTWO,FLIPTHREE,FLOPRATE,FLOPBOUND,FLOPBOUNDMINUSONE,SMALLEST,SECONDSMALLEST,PROBSMALLEST,PROBSECONDSMALLEST,FLOPSCALAR,EFLIP,EFLOP
63,88,37,12,17,11,500,300,0.1895,0.127491272,0.7744,0.699314,0.75370052,0.75370428,315,116.55,10.8,300.5,1.3431,0.9104,4,3,-1,5,15,12,0.0724,0.1563,6,-1,0.6,6,8,4,6,13,10,14,0.4672,0.0928,4,11,50,11,14,13,3,8,0.7813,0.0729,3,43.0978,21.1956
63,89,37,11,17,9,500,300,0.197,0.070673611,0.7921,0.71318,0.75593847,0.75594222,315,116.55,10.8,300.5,1.3431,0.9104,4,3,0,4,12,12,0.1144,0.1954,6,-1,0.6,6,9,4,7,14,10,16,0.5403,0.0766,4,11,55,12,13,12,2,8,0.576,0.1413,2,61.7676,53.5351
63,90,37,10,20,9,500,300,0.2046,0.021023368,0.81,0.727182,0.75813634,0.75814009,315,116.55,10.8,300.5,1.3431,0.9104,4,3,1,3,9,12,0.0874,0.1954,6,-1,0.6,6,10,4,8,15,10,18,0.6294,0.061,4,11,60,11,12,11,1,8,0.5793,0.1402,1,65.237,55.474
64,59,36,41,17,11,520,330,0.0483,0.128623044,0.3481,0.358502,0.66087386,0.66087735,332.8,119.81,10.95,330.5,0.2101,0.5832,4,6,-1,5,30,24,0.0363,0.1563,6,-1,0.6,7,8,5,6,14,12,14,0.4485,0.0998,4,11,65,12,14,13,3,8,0.6815,0.1062,3,60.191,40.382
64,60,36,40,16,10,520,330,0.0513,0.125608441,0.36,0.368449,0.66501389,0.66501741,332.8,119.81,10.95,330.5,0.2101,0.5832,4,6,0,4,24,24,0.0812,0.1954,6,-1,0.6,7,9,5,7,15,12,16,0.5216,0.0885,4,11,70,11,13,12,2,8,0.6887,0.1038,2,62.7108,40.4215
64,61,36,39,18,8,510,320,0.0545,0.02001427,0.3721,0.378533,0.66905531,0.66905885,326.4,117.5,10.84,320.5,0.5443,0.7069,4,6,1,3,18,24,0.0412,0.1954,6,-1,0.6,7,10,5,8,16,12,18,0.6117,0.0748,4,11,75,12,12,11,1,8,0.4616,0.1795,1,97.9876,105.9751
64,82,36,18,12,7,490,300,0.1557,0.122861071,0.6724,0.621732,0.73608842,0.73609218,313.6,112.9,10.63,300.5,1.2329,0.8912,4,10,-1,5,50,40,0.0177,0.1563,6,-1,0.7,5,8,3,6,12,8,14,0.3391,0.0833,4,11,80,11,14,13,3,8,0.7813,0.0729,3,62.2968,29.5936
64,83,36,17,15,7,490,300,0.1623,0.03725934,0.6889,0.63481,0.73861432,0.73861809,313.6,112.9,10.63,300.5,1.2329,0.8912,4,10,0,4,40,40,0.0629,0.1954,6,-1,0.7,5,9,3,7,13,8,16,0.4076,0.0659,4,11,85,12,13,12,2,8,0.576,0.1413,2,87.8108,75.6216
64,84,36,16,20,13,490,300,0.1691,0.11933952,0.7056,0.648025,0.74109264,0.74109641,313.6,112.9,10.63,300.5,1.2329,0.8912,4,10,1,3,30,40,0.0185,0.1954,6,-1,0.7,5,10,3,8,14,8,18,0.4985,0.0509,4,11,90,11,12,11,1,8,0.5793,0.1402,1,91.1318,77.2636
64,85,36,15,20,12,490,300,0.176,0.10069272,0.7225,0.661375,0.74352471,0.74352847,313.6,112.9,10.63,300.5,1.2329,0.8912,4,8,-1,5,40,32,0.0249,0.1563,6,-1,0.7,6,8,4,6,13,10,14,0.3605,0.0961,4,12,20,8,12,11,1,8,0.8881,0.0373,1,20.7685,5.5371
64,86,36,14,20,10,490,300,0.1832,0.038939763,0.7396,0.674862,0.74591179,0.74591556,313.6,112.9,10.63,300.5,1.2329,0.8912,4,8,0,4,32,32,0.0703,0.1954,6,-1,0.7,6,9,4,7,14,10,16,0.4304,0.0807,4,12,25,9,11,10,3,8,0.706,0.098,3,30.5373,20.0746
64,87,36,13,14,9,490,300,0.1905,0.140187992,0.7569,0.688485,0.74825512,0.74825888,313.6,112.9,10.63,300.5,1.2329,0.8912,4,8,1,3,24,32,0.0271,0.1954,6,-1,0.7,6,10,4,8,15,10,18,0.5219,0.0654,4,12,30,8,10,9,2,8,0.7166,0.0945,2,33.0949,20.1898
64,88,36,12,19,11,490,300,0.198,0.091087165,0.7744,0.702244,0.75055588,0.75055963,313.6,112.9,10.63,300.5,1.2329,0.8912,4,12,-1,5,60,48,0.0128,0.1563,6,-1,0.7,7,8,5,6,14,12,14,0.3433,0.1013,4,12,35,9,12,11,1,8,0.803,0.0657,1,32.2556,13.5112
64,89,36,11,13,6,490,300,0.2057,0.042650343,0.7921,0.716139,0.7528152,0.75281896,313.6,112.9,10.63,300.5,1.2329,0.8912,4,12,0,4,48,48,0.0575,0.1954,6,-1,0.7,7,9,5,7,15,12,16,0.4121,0.0912,4,12,40,8,11,10,3,8,0.8159,0.0614,3,35.8185,15.6371
64,90,36,10,15,9,490,300,0.2135,0.117757914,0.81,0.73017,0.7550342,0.75503795,313.6,112.9,10.63,300.5,1.2329,0.8912,4,12,1,3,36,48,0.0128,0.1954,6,-1,0.7,7,10,5,8,16,12,18,0.5032,0.0782,4,12,45,9,10,9,2,8,0.5874,0.1375,2,52.923,44.846
65,59,35,41,16,10,510,320,0.0512,0.123864232,0.3481,0.3606,0.65702759,0.65703105,331.5,116.02,10.77,320.5,1.0212,0.8464,5,4,-1,6,24,20,0.0557,0.1462,6,-1,0.8,5,8,3,6,12,8,14,0.2304,0.0884,4,12,50,8,12,11,1,8,0.8881,0.0373,1,37.659,9.318
65,60,35,40,20,13,510,320,0.0544,0.119860771,0.36,0.370577,0.66119591,0.6611994,331.5,116.02,10.77,320.5,1.0212,0.8464,5,4,0,5,20,20,0.0888,0.1755,6,-1,0.8,5,9,3,7,13,8,16,0.2864,0.071,4,12,55,9,11,10,3,8,0.706,0.098,3,51.7841,32.5682
65,61,35,39,12,7,500,320,0.0577,0.118953081,0.3721,0.380689,0.66526541,0.66526893,325,113.75,10.67,320.5,0.4219,0.6635,5,4,1,4,16,20,0.0646,0.1755,6,-1,0.8,5,10,3,8,14,8,18,0.367,0.0558,4,12,60,8,10,9,2,8,0.7166,0.0945,2,54.0264,32.0528
65,82,35,18,14,9,480,300,0.163,0.140003528,0.6724,0.624495,0.73283189,0.73283566,312,109.2,10.45,300.5,1.1005,0.8644,5,3,-1,6,18,15,0.0706,0.1462,6,-1,0.8,6,8,4,6,13,10,14,0.2474,0.0994,4,12,65,9,12,11,1,8,0.803,0.0657,1,50.9353,20.8707
65,83,35,17,18,12,480,300,0.1699,0.129404341,0.6889,0.637602,0.73538034,0.73538411,312,109.2,10.45,300.5,1.1005,0.8644,5,3,0,5,15,15,0.1024,0.1755,6,-1,0.8,6,9,4,7,14,10,16,0.306,0.0848,4,12,70,8,11,10,3,8,0.8159,0.0614,3,54.2035,22.4069
65,84,35,16,13,9,480,300,0.1769,0.15385003,0.7056,0.650845,0.73788096,0.73788473,312,109.2,10.45,300.5,1.1005,0.8644,5,3,1,4,12,15,0.0829,0.1755,6,-1,0.8,6,10,4,8,15,10,18,0.3891,0.0698,4,12,75,9,10,9,2,8,0.5874,0.1375,2,78.4589,65.9178
65,85,35,15,18,9,480,300,0.184,0.039684194,0.7225,0.664225,0.74033507,0.74033883,312,109.2,10.45,300.5,1.1005,0.8644,5,6,-1,6,36,30,0.0378,0.1462,6,-1,0.8,7,8,5,6,14,12,14,0.2337,0.1029,4,12,80,8,12,11,1,8,0.8881,0.0373,1,54.5494,13.0989
65,86,35,14,20,12,480,300,0.1914,0.096810623,0.7396,0.67774,0.74274394,0.74274771,312,109.2,10.45,300.5,1.1005,0.8644,5,6,0,5,30,30,0.0726,0.1755,6,-1,0.8,7,9,5,7,15,12,16,0.2902,0.0939,4,12,85,9,11,10,3,8,0.706,0.098,3,73.0309,45.0619
65,87,35,13,16,11,480,300,0.1989,0.138020144,0.7569,0.691392,0.74510882,0.74511258,312,109.2,10.45,300.5,1.1005,0.8644,5,6,1,4,24,30,0.0426,0.1755,6,-1,0.8,7,10,5,8,16,12,18,0.3714,0.0816,4,12,90,8,10,9,2,8,0.7166,0.0945,2,74.9579,43.9157
65,88,35,12,14,8,480,300,0.2066,0.100515353,0.7744,0.70518,0.74743087,0.74743463,312,109.2,10.45,300.5,1.1005,0.8644,5,10,-1,6,60,50,0.0201,0.1462,6,0,0.3,5,8,3,6,13,8,14,0.7364,0.0525,4,13,20,9,13,12,2,8,0.8758,0.0414,2,22.1242,7.2484
65,89,35,11,15,9,480,300,0.2145,0.114336214,0.7921,0.719104,0.74971125,0.74971501,312,109.2,10.45,300.5,1.1005,0.8644,5,10,0,5,50,50,0.0563,0.1755,6,0,0.3,5,9,3,7,14,8,16,0.7893,0.0398,4,13,25,10,12,11,1,8,0.6968,0.1011,1,30.6388,19.2776
65,90,35,10,15,7,480,300,0.2225,0.033150737,0.81,0.733164,0.75195106,0.75195482,312,109.2,10.45,300.5,1.1005,0.8644,5,10,1,4,40,50,0.0215,0.1755,6,0,0.3,5,10,3,8,15,8,18,0.844,0.0299,4,13,30,9,11,10,3,8,0.706,0.098,3,34.7867,22.5733
66,59,34,41,17,8,500,320,0.0542,0.025008507,0.3481,0.362705,0.65321481,0.65321824,33,112.2,10.59,320.5,0.8969,0.8151,5,8,-1,6,48,40,0.0271,0.1462,6,0,0.3,6,8,4,6,14,10,14,0.7542,0.0683,4,13,35,10,13,12,2,8,0.7916,0.0695,2,33.8467,15.6934
66,60,34,40,15,11,500,320,0.0575,0.138462777,0.36,0.37271,0.65741071,0.65741417,33,112.2,10.59,320.5,0.8969,0.8151,5,8,0,5,40,40,0.0629,0.1755,6,0,0.3,6,9,4,7,15,10,16,0.8045,0.0541,4,13,40,9,12,11,1,8,0.803,0.0657,1,35.9915,14.9831
66,61,34,39,18,8,490,320,0.0611,0.014454917,0.3721,0.382852,0.66150762,0.66151111,323.4,109.96,10.49,320.5,0.2766,0.6089,5,8,1,4,32,40,0.0298,0.1755,6,0,0.3,6,10,4,8,16,10,18,0.856,0.0417,4,13,45,10,11,10,3,8,0.583,0.139,3,54.6696,47.3392
66,82,34,18,14,11,470,300,0.1705,0.116355275,0.6724,0.627264,0.72959693,0.72960069,310.2,105.47,10.27,300.5,0.9445,0.8275,5,12,-1,6,72,60,0.0152,0.1462,6,0,0.3,7,8,5,6,15,12,14,0.74,0.0804,4,13,50,9,13,12,2,8,0.8758,0.0414,2,39.2519,11.5038
66,83,34,17,17,8,470,300,0.1776,0.025008507,0.6889,0.6404,0.73216756,0.73217133,310.2,105.47,10.27,300.5,0.9445,0.8275,5,12,0,5,60,60,0.0514,0.1755,6,0,0.3,7,9,5,7,16,12,16,0.7924,0.0678,4,13,55,10,12,11,1,8,0.6968,0.1011,1,52.1665,32.333
66,84,34,16,15,9,470,300,0.1848,0.110236205,0.7056,0.653672,0.73469011,0.73469388,310.2,105.47,10.27,300.5,0.9445,0.8275,5,12,1,4,48,60,0.0158,0.1755,6,0,0.3,7,10,5,8,17,12,18,0.8465,0.0549,4,13,60,9,11,10,3,8,0.706,0.098,3,56.0335,35.067
66,85,34,15,14,11,470,300,0.1922,0.116355275,0.7225,0.66708,0.73716591,0.73716968,310.2,105.47,10.27,300.5,0.9445,0.8275,6,5,-1,7,35,30,0.0453,0.1377,6,0,0.4,5,8,3,6,13,8,14,0.6423,0.0602,4,13,65,10,13,12,2,8,0.7916,0.0695,2,52.7967,23.5934
66,86,34,14,14,10,470,300,0.1997,0.14985149,0.7396,0.680625,0.73959623,0.7396,310.2,105.47,10.27,300.5,0.9445,0.8275,6,5,0,6,30,30,0.0726,0.1606,6,0,0.4,5,9,3,7,14,8,16,0.7066,0.0474,4,13,70,9,12,11,1,8,0.803,0.0657,1,54.6713,22.3426
66,87,34,13,14,6,470,300,0.2074,0.018996496,0.7569,0.694305,0.74198232,0.74198608,310.2,105.47,10.27,300.5,0.9445,0.8275,6,5,1,5,25,30,0.0511,0.1606,6,0,0.4,5,10,3,8,15,8,18,0.7767,0.0368,4,13,75,10,11,10,3,8,0.583,0.139,3,80.3969,68.7937
66,88,34,12,14,6,470,300,0.2153,0.018996496,0.7744,0.708122,0.74432534,0.7443291,310.2,105.47,10.27,300.5,0.9445,0.8275,6,4,-1,7,28,24,0.0548,0.1377,6,0,0.4,6,8,4,6,14,10,14,0.6636,0.0736,4,13,80,9,13,12,2,8,0.8758,0.0414,2,56.3796,15.7592
66,89,34,11,19,11,470,300,0.2233,0.080885764,0.7921,0.722075,0.74662646,0.74663022,310.2,105.47,10.27,300.5,0.9445,0.8275,6,4,0,6,24,24,0.0812,0.1606,6,0,0.4,6,9,4,7,15,10,16,0.7257,0.0605,4,13,85,10,12,11,1,8,0.6968,0.1011,1,73.6942,45.3885
66,90,34,10,20,13,470,300,0.2316,0.119330292,0.81,0.736164,0.74888677,0.74889053,310.2,105.47,10.27,300.5,0.9445,0.8275,6,4,1,5,20,24,0.0624,0.1606,6,0,0.4,6,10,4,8,16,10,18,0.7926,0.0484,4,13,90,9,11,10,3,8,0.706,0.098,3,77.2803,47.5606
67,59,33,41,14,8,490,320,0.0573,0.089991055,0.3481,0.364816,0.64943512,0.64943852,328.3,108.34,10.41,320.5,0.7494,0.7732,6,3,-1,7,21,18,0.0684,0.1377,6,0,0.4,7,8,5,6,15,12,14,0.6466,0.083,4,14,20,10,14,13,3,8,0.8645,0.0452,3,23.4789,8.9579
67,60,33,40,15,11,490,320,0.0608,0.144981526,0.36,0.37485,0.65365792,0.65366136,328.3,108.34,10.41,320.5,0.7494,0.7732,6,3,0,6,18,18,0.0936,0.1606,6,0,0.4,7,9,5,7,16,12,16,0.7105,0.0723,4,14,25,11,13,12,2,8,0.6887,0.1038,2,32.2184,21.4368
67,61,33,39,19,13,480,310,0.0645,0.131440025,0.3721,0.38502,0.65778158,0.65778505,321.6,106.13,10.3,310.5,1.0775,0.8594,6,3,1,5,15,18,0.0786,0.1606,6,0,0.4,7,10,5,8,17,12,18,0.78,0.0604,4,14,30,10,12,11,1,8,0.6968,0.1011,1,34.9443,21.8887
67,82,33,18,12,7,460,300,0.1782,0.109581009,0.6724,0.630039,0.72638335,0.7263871,308.2,101.71,10.08,300.5,0.7635,0.7774,6,10,-1,7,70,60,0.0216,0.1377,6,0,0.6,5,8,3,6,13,8,14,0.4439,0.0754,4,14,35,11,14,13,3,8,0.7813,0.0729,3,35.4182,17.8364
67,83,33,17,14,6,460,300,0.1854,0.0163734,0.6889,0.643204,0.72897579,0.72897955,308.2,101.71,10.08,300.5,0.7635,0.7774,6,10,0,6,60,60,0.0514,0.1606,6,0,0.6,5,9,3,7,14,8,16,0.5169,0.0626,4,14,40,10,13,12,2,8,0.7916,0.0695,2,37.6367,17.2734
67,84,33,16,18,9,460,300,0.1928,0.030696131,0.7056,0.656505,0.73151992,0.73152368,308.2,101.71,10.08,300.5,0.7635,0.7774,6,10,1,5,50,60,0.0233,0.1606,6,0,0.6,5,10,3,8,15,8,18,0.6072,0.0508,4,14,45,11,12,11,1,8,0.5793,0.1402,1,54.8791,46.7582
67,85,33,15,20,12,460,300,0.2004,0.086981628,0.7225,0.669942,0.73401706,0.73402082,308.2,101.71,10.08,300.5,0.7635,0.7774,6,8,-1,7,56,48,0.0283,0.1377,6,0,0.6,6,8,4,6,14,10,14,0.4672,0.0844,4,14,50,10,14,13,3,8,0.8645,0.0452,3,40.8307,13.6614
67,86,33,14,16,12,460,300,0.2081,0.132460394,0.7396,0.683515,0.73646849,0.73647226,308.2,101.71,10.08,300.5,0.7635,0.7774,6,8,0,6,48,48,0.0575,0.1606,6,0,0.6,6,9,4,7,15,10,16,0.5403,0.0734,4,14,55,11,13,12,2,8,0.6887,0.1038,2,53.9987,34.9973
67,87,33,13,12,10,460,300,0.216,0.10917887,0.7569,0.697225,0.73887545,0.73887922,308.2,101.71,10.08,300.5,0.7635,0.7774,6,8,1,5,40,48,0.031,0.1606,6,0,0.6,6,10,4,8,16,10,18,0.6294,0.0617,4,14,60,10,12,11,1,8,0.6968,0.1011,1,56.4721,34.9441
67,88,33,12,20,11,460,300,0.224,0.052362074,0.7744,0.71107,0.74123913,0.74124289,308.2,101.71,10.08,300.5,0.7635,0.7774,6,12,-1,7,84,72,0.0168,0.1377,6,0,0.6,7,8,5,6,15,12,14,0.4485,0.0883,4,14,65,11,14,13,3,8,0.7813,0.0729,3,54.6172,26.2344
67,89,33,11,19,8,460,300,0.2323,0.006531404,0.7921,0.725052,0.74356067,0.74356443,308.2,101.71,10.08,300.5,0.7635,0.7774,6,12,0,6,72,72,0.047,0.1606,6,0,0.6,7,9,5,7,16,12,16,0.5216,0.0812,4,14,70,10,13,12,2,8,0.7916,0.0695,2,56.5867,25.1734
67,90,33,10,18,10,460,290,0.2406,0.062322448,0.81,0.73917,0.74584118,0.74584494,308.2,101.71,10.08,290.5,1.7551,0.9604,6,12,1,5,60,72,0.0178,0.1606,6,0,0.6,7,10,5,8,17,12,18,0.6117,0.0715,4,14,75,11,12,11,1,8,0.5793,0.1402,1,80.7739,68.5478
68,59,32,41,15,8,480,320,0.0606,0.053909888,0.3481,0.366933,0.64568814,0.64569151,326.4,104.45,10.22,320.5,0.5773,0.7181,7,5,-1,8,40,35,0.0447,0.1304,6,0,0.7,5,8,3,6,13,8,14,0.3391,0.0831,4,14,80,10,14,13,3,8,0.8645,0.0452,3,58.1825,18.365
68,60,32,40,19,10,480,320,0.0643,0.03616212,0.36,0.376996,0.64993718,0.64994058,326.4,104.45,10.22,320.5,0.5773,0.7181,7,5,0,7,35,35,0.0673,0.149,6,0,0.7,5,9,3,7,14,8,16,0.4076,0.0702,4,14,85,11,13,12,2,8,0.6887,0.1038,2,75.7789,48.5579
68,61,32,39,20,12,470,310,0.0681,0.081231628,0.3721,0.387195,0.65408693,0.65409037,319.6,102.27,10.11,310.5,0.8998,0.8159,7,5,1,6,30,35,0.0499,0.149,6,0,0.7,5,10,3,8,15,8,18,0.4985,0.0577,4,14,90,10,12,11,1,8,0.6968,0.1011,1,77.9998,47.9996
68,82,32,18,15,7,450,300,0.186,0.022198189,0.6724,0.63282,0.72319094,0.7231947,306,97.92,9.9,300.5,0.5558,0.7108,7,4,-1,8,32,28,0.0535,0.1304,6,0,0.7,6,8,4,6,14,10,14,0.3605,0.0898,4,15,20,11,12,11,1,8,0.5793,0.1402,1,34.1632,29.3265
68,83,32,17,18,13,450,300,0.1934,0.13801175,0.6889,0.646014,0.72580484,0.7258086,306,97.92,9.9,300.5,0.5558,0.7108,7,4,0,7,28,28,0.0752,0.149,6,0,0.7,6,9,4,7,15,10,16,0.4304,0.0799,4,15,25,12,11,10,3,8,0.3472,0.2176,3,64.8587,85.7174
68,84,32,16,12,6,450,300,0.201,0.049045066,0.7056,0.659344,0.7283702,0.72837396,306,97.92,9.9,300.5,0.5558,0.7108,7,4,1,6,24,28,0.0601,0.149,6,0,0.7,6,10,4,8,16,10,18,0.5219,0.0684,4,15,30,11,10,9,2,8,0.3405,0.2198,2,72.9508,96.9015
