NA,PA,PB,NB,MUX,VARX,MUY,VARY,MUD,VARD,ZTRANSFORM,SOLNBINOMIAL,XVAR,YVAR,XBOUND,YBOUND,CONST,SOLNPDF,VARA,VARB,VARC,VARTEST,SOLNCODE
100,0.7,0.4,50,70,21,20,12,30,69,-3.55138,0.99981,2,3,3,3,0.01058,1.71429,1,3,1,150,3
100,0.8,0.3,50,80,16,15,10.5,50,58,-6.49967,1,2,4,1,1,0.375,0.625,1,3,2,88,3
100,0.8,0.35,50,80,16,17.5,11.375,45,61.5,-5.67443,1,2,4,1,2,0.10714,1.28571,1,3,2,150,3
100,0.8,0.4,50,80,16,20,12,40,64,-4.9375,1,2,4,1,3,0.05,1.95,1,3,3,88,3
200,0.4,0.15,100,80,48,15,12.75,50,99,-4.97494,1,2,4,2,1,0.10714,0.57143,1,3,3,150,3
200,0.4,0.2,100,80,48,20,16,40,112,-3.7324,0.99991,2,4,2,2,0.0375,1.2,1,3,4,88,3
200,0.4,0.25,100,80,48,25,18.75,30,123,-2.65993,0.99609,2,4,2,3,0.01923,1.84615,1,3,4,150,3
200,0.4,0.3,100,80,48,30,21,20,132,-1.69726,0.95518,2,4,3,1,0.04167,0.54167,1,4,1,88,5
200,0.4,0.35,100,80,48,35,22.75,10,139,-0.80578,0.78981,2,4,3,2,0.01667,1.13333,1,4,1,150,5
200,0.4,0.4,100,80,48,40,24,0,144,0.04167,0.48338,2,4,3,3,0.00926,1.75,1,4,2,88,5
200,0.45,0.15,100,90,49.5,15,12.75,60,100.5,-5.93518,1,3,2,1,1,0.5,0.58333,1,4,2,150,5
200,0.45,0.2,100,90,49.5,20,16,50,113.5,-4.6463,1,3,2,1,2,0.16667,1.22222,1,4,3,88,5
200,0.45,0.25,100,90,49.5,25,18.75,40,124.5,-3.54007,0.9998,3,2,1,3,0.08333,1.875,1,4,3,150,5
200,0.45,0.3,100,90,49.5,30,21,30,133.5,-2.55318,0.99466,3,2,2,1,0.1,0.53333,1,4,4,88,5
200,0.45,0.35,100,90,49.5,35,22.75,20,140.5,-1.64512,0.95003,3,2,2,2,0.04167,1.11111,1,4,4,150,5
200,0.45,0.4,100,90,49.5,40,24,10,145.5,-0.78758,0.78453,3,2,2,3,0.02381,1.71429,2,1,1,88,3
200,0.5,0.15,100,100,50,15,12.75,70,101,-6.91551,1,3,2,3,1,0.03333,0.51667,2,1,1,150,3
200,0.5,0.2,100,100,50,20,16,60,114,-5.57269,1,3,2,3,2,0.01515,1.06061,2,1,2,88,3
200,0.5,0.25,100,100,50,25,18.75,50,125,-4.42741,1,3,2,3,3,0.00926,1.625,2,1,2,150,3
200,0.5,0.3,100,100,50,30,21,40,134,-3.41228,0.99968,3,3,1,1,0.4,0.6,2,1,3,88,3
200,0.5,0.35,100,100,50,35,22.75,30,141,-2.48435,0.99351,3,3,1,2,0.125,1.25,2,1,3,150,3
200,0.5,0.4,100,100,50,40,24,20,146,-1.61383,0.94672,3,3,1,3,0.06061,1.90909,2,1,4,88,3
200,0.55,0.15,100,11,49.5,15,12.75,8,100.5,-7.9302,1,3,3,2,1,0.09091,0.54545,2,1,4,150,3
200,0.55,0.2,100,11,49.5,20,16,7,113.5,-6.52359,1,3,3,2,2,0.03571,1.14286,2,2,1,88,2
200,0.55,0.25,100,11,49.5,25,18.75,6,124.5,-5.33252,1,3,3,2,3,0.01961,1.76471,2,2,1,150,2
200,0.55,0.3,100,11,49.5,30,21,5,133.5,-4.28415,0.99999,3,3,3,1,0.03175,0.52381,2,2,2,88,2
200,0.55,0.35,100,11,49.5,35,22.75,4,140.5,-3.33241,0.99957,3,3,3,2,0.01389,1.08333,2,2,2,150,2
200,0.55,0.4,100,11,49.5,40,24,3,145.5,-2.44563,0.99277,3,3,3,3,0.00823,1.66667,2,2,3,88,2
200,0.6,0.15,100,120,48,15,12.75,90,99,-8.99509,1,3,4,1,1,0.33333,0.61111,2,2,3,150,2
200,0.6,0.2,100,120,48,20,16,80,112,-7.51204,1,3,4,1,2,0.1,1.26667,2,2,4,88,2
200,0.6,0.25,100,120,48,25,18.75,70,123,-6.2666,1,3,4,1,3,0.04762,1.92857,2,2,4,150,2
200,0.6,0.3,100,120,48,30,21,60,132,-5.17881,1,3,4,2,1,0.08333,0.55556,2,3,1,88,3
200,0.6,0.35,100,120,48,35,22.75,50,139,-4.19854,0.99999,3,4,2,2,0.03125,1.16667,2,3,1,150,3
200,0.6,0.4,100,120,48,40,24,40,144,-3.29167,0.9995,3,4,2,3,0.01667,1.8,2,3,2,88,3
200,0.7,0.15,100,140,42,15,12.75,110,93,-11.35462,1,3,4,3,1,0.0303,0.5303,2,3,2,150,3
200,0.7,0.2,100,140,42,20,16,100,106,-9.66429,1,3,4,3,2,0.01282,1.10256,2,3,3,88,3
200,0.7,0.25,100,140,42,25,18.75,90,117,-8.27428,1,3,4,3,3,0.00741,1.7,2,3,3,150,3
200,0.7,0.3,100,140,42,30,21,80,126,-7.08242,1,4,2,1,1,0.42857,0.57143,2,3,4,88,3
200,0.7,0.35,100,140,42,35,22.75,70,133,-6.02641,1,4,2,1,2,0.15,1.2,2,3,4,150,3
200,0.7,0.4,100,140,42,40,24,60,138,-5.06498,1,4,2,1,3,0.07692,1.84615,2,4,1,88,6
200,0.8,0.15,100,160,32,15,12.75,130,83,-14.21447,1,4,2,2,1,0.07895,0.52632,2,4,1,150,6
200,0.8,0.2,100,160,32,20,16,120,96,-12.19642,1,4,2,2,2,0.03409,1.09091,2,4,2,88,6
200,0.8,0.25,100,160,32,25,18.75,110,107,-10.58576,1,4,2,2,3,0.02,1.68,2,4,2,150,6
200,0.8,0.3,100,160,32,30,21,100,116,-9.23834,1,4,2,3,1,0.02564,0.51282,2,4,3,88,6
200,0.8,0.35,100,160,32,35,22.75,90,123,-8.06994,1,4,2,3,2,0.0119,1.04762,2,4,3,150,6
200,0.8,0.4,100,160,32,40,24,80,128,-7.02687,1,4,2,3,3,0.00741,1.6,2,4,4,88,6
300,0.4,0.15,150,120,72,22.5,19.125,75,148.5,-6.11354,1,4,3,1,1,0.35294,0.58824,2,4,4,150,6
300,0.4,0.2,150,120,72,30,24,60,168,-4.59052,1,4,3,1,2,0.11538,1.23077,3,1,1,88,3
300,0.4,0.25,150,120,72,37.5,28.125,45,184.5,-3.27614,0.99947,4,3,1,3,0.05714,1.88571,3,1,1,150,3
300,0.4,0.3,150,120,72,45,31.5,30,198,-2.09647,0.98198,4,3,2,1,0.07317,0.53659,3,1,2,88,3
300,0.4,0.35,150,120,72,52.5,34.125,15,208.5,-1.00419,0.84236,4,3,2,2,0.03,1.12,3,1,2,150,3
300,0.4,0.4,150,120,72,60,36,0,216,0.03402,0.48643,4,3,2,3,0.01695,1.72881,3,1,3,88,3
300,0.45,0.15,150,135,74.25,22.5,19.125,90,150.75,-7.28944,1,4,3,3,1,0.02469,0.51852,3,1,3,150,3
300,0.45,0.2,150,135,74.25,30,24,75,170.25,-5.70969,1,4,3,3,2,0.01111,1.06667,3,1,4,88,3
300,0.45,0.25,150,135,74.25,37.5,28.125,60,186.75,-4.35398,0.99999,4,3,3,3,0.00673,1.63636,3,1,4,150,3
300,0.45,0.3,150,135,74.25,45,31.5,45,200.25,-3.14466,0.99917,4,4,1,1,0.3,0.6,3,2,1,88,3
300,0.45,0.35,150,135,74.25,52.5,34.125,30,210.75,-2.03207,0.97893,4,4,1,2,0.09375,1.25,3,2,1,150,3
300,0.45,0.4,150,135,74.25,60,36,15,218.25,-0.9815,0.83683,4,4,1,3,0.04545,1.90909,3,2,2,88,3
300,0.5,0.15,150,150,75,22.5,19.125,105,151.5,-8.49004,1,4,4,2,1,0.06818,0.54545,3,2,2,150,3
300,0.5,0.2,150,150,75,30,24,90,171,-6.84424,1,4,4,2,2,0.02679,1.14286,3,2,3,88,3
300,0.5,0.25,150,150,75,37.5,28.125,75,187.5,-5.44071,1,4,4,2,3,0.01471,1.76471,3,2,3,150,3
300,0.5,0.3,150,150,75,45,31.5,60,201,-4.19681,0.99999,4,4,3,1,0.02381,0.52381,3,2,4,88,3
300,0.5,0.35,150,150,75,52.5,34.125,45,211.5,-3.05988,0.99889,4,4,3,2,0.01042,1.08333,3,2,4,150,3
300,0.5,0.4,150,150,75,60,36,30,219,-1.99343,0.97689,4,4,3,3,0.00617,1.66667,3,3,1,88,3
300,0.55,0.15,150,165,74.25,22.5,19.125,120,150.75,-9.73283,1,2,2,1,1,0.6,0.6,3,3,1,150,3
300,0.55,0.2,150,165,74.25,30,24,105,170.25,-8.0089,1,2,2,1,2,0.1875,1.25,3,3,2,88,3
300,0.55,0.25,150,165,74.25,37.5,28.125,90,186.75,-6.54927,1,2,2,1,3,0.09091,1.90909,3,3,2,150,3
300,0.55,0.3,150,165,74.25,45,31.5,75,200.25,-5.26466,1,2,2,2,1,0.13636,0.54545,3,3,3,88,3
300,0.55,0.35,150,165,74.25,52.5,34.125,60,210.75,-4.09858,0.99998,2,2,2,2,0.05357,1.14286,3,3,3,150,3
300,0.55,0.4,150,165,74.25,60,36,45,218.25,-3.01219,0.9987,2,2,2,3,0.02941,1.76471,3,3,4,88,3
300,0.6,0.15,150,180,72,22.5,19.125,135,148.5,-11.0372,1,2,2,3,1,0.04762,0.52381,3,3,4,150,3
300,0.6,0.2,150,180,72,30,24,120,168,-9.21963,1,2,2,3,2,0.02083,1.08333,3,4,1,88,7
300,0.6,0.25,150,180,72,37.5,28.125,105,184.5,-7.6934,1,2,2,3,3,0.01235,1.66667,3,4,1,150,7
300,0.6,0.3,150,180,72,45,31.5,90,198,-6.36049,1,2,3,1,1,0.46154,0.61538,3,4,2,88,7
300,0.6,0.35,150,180,72,52.5,34.125,75,208.5,-5.15945,1,2,3,1,2,0.13636,1.27273,3,4,2,150,7
300,0.6,0.4,150,180,72,60,36,60,216,-4.04846,0.99997,2,3,1,3,0.06452,1.93548,3,4,3,88,7
300,0.7,0.15,150,210,63,22.5,19.125,165,139.5,-13.92768,1,2,3,2,1,0.12,0.56,3,4,3,150,7
300,0.7,0.2,150,210,63,30,24,150,159,-11.85612,1,2,3,2,2,0.04412,1.17647,3,4,4,88,7
300,0.7,0.25,150,210,63,37.5,28.125,135,175.5,-10.15275,1,2,3,2,3,0.02326,1.81395,3,4,4,150,7
300,0.7,0.3,150,210,63,45,31.5,120,189,-8.69235,1,2,3,3,1,0.04444,0.53333,4,1,1,88,5
300,0.7,0.35,150,210,63,52.5,34.125,105,199.5,-7.39852,1,2,3,3,2,0.01852,1.11111,4,1,1,150,5
300,0.7,0.4,150,210,63,60,36,90,207,-6.22068,1,2,3,3,3,0.01058,1.71429,4,1,2,88,5
300,0.8,0.15,150,240,48,22.5,19.125,195,124.5,-17.43151,1,2,4,1,1,0.375,0.625,4,1,2,150,5
300,0.8,0.2,150,240,48,30,24,180,144,-14.95833,1,2,4,1,2,0.10714,1.28571,4,1,3,88,5
300,0.8,0.25,150,240,48,37.5,28.125,165,160.5,-12.98459,1,2,4,1,3,0.05,1.95,4,1,3,150,5
300,0.8,0.3,150,240,48,45,31.5,150,174,-11.33357,1,2,4,2,1,0.10714,0.57143,4,1,4,88,5
300,0.8,0.35,150,240,48,52.5,34.125,135,184.5,-9.90203,1,2,4,2,2,0.0375,1.2,4,1,4,150,5
300,0.8,0.4,150,240,48,60,36,120,192,-8.62417,1,2,4,2,3,0.01923,1.84615,4,2,1,88,6
400,0.4,0.15,200,160,96,30,25.5,100,198,-7.07116,1,2,4,3,1,0.04167,0.54167,4,2,1,150,6
400,0.4,0.2,200,160,96,40,32,80,224,-5.31182,1,2,4,3,2,0.01667,1.13333,4,2,2,88,6
400,0.4,0.25,200,160,96,50,37.5,60,246,-3.79358,0.99993,2,4,3,3,0.00926,1.75,4,2,2,150,6
400,0.4,0.3,200,160,96,60,42,40,264,-2.43106,0.99247,3,2,1,1,0.5,0.58333,4,2,3,88,6
400,0.4,0.35,200,160,96,70,45.5,20,278,-1.16953,0.87891,3,2,1,2,0.16667,1.22222,4,2,3,150,6
400,0.4,0.4,200,160,96,80,48,0,288,0.02946,0.48825,3,2,1,3,0.08333,1.875,4,2,4,88,6
400,0.45,0.15,200,180,99,30,25.5,120,201,-8.42888,1,3,2,2,1,0.1,0.53333,4,2,4,150,6
400,0.45,0.2,200,180,99,40,32,100,227,-6.60405,1,3,2,2,2,0.04167,1.11111,4,3,1,88,7
400,0.45,0.25,200,180,99,50,37.5,80,249,-5.03811,1,3,2,2,3,0.02381,1.71429,4,3,1,150,7
400,0.45,0.3,200,180,99,60,42,60,267,-3.64134,0.99986,3,2,3,1,0.03333,0.51667,4,3,2,88,7
400,0.45,0.35,200,180,99,70,45.5,40,281,-2.35637,0.99077,3,2,3,2,0.01515,1.06061,4,3,2,150,7
400,0.45,0.4,200,180,99,80,48,20,291,-1.14311,0.8735,3,2,3,3,0.00926,1.625,4,3,3,88,7
400,0.5,0.15,200,200,100,30,25.5,140,202,-9.81519,1,3,3,1,1,0.4,0.6,4,3,3,150,7
400,0.5,0.2,200,200,100,40,32,120,228,-7.91408,1,3,3,1,2,0.125,1.25,4,3,4,88,7
400,0.5,0.25,200,200,100,50,37.5,100,250,-6.29293,1,3,3,1,3,0.06061,1.90909,4,3,4,150,7
400,0.5,0.3,200,200,100,60,42,80,268,-4.85624,1,3,3,2,1,0.09091,0.54545,4,4,1,88,4
400,0.5,0.35,200,200,100,70,45.5,60,282,-3.54317,0.9998,3,3,2,2,0.03571,1.14286,4,4,1,150,4
400,0.5,0.4,200,200,100,80,48,40,292,-2.31156,0.9896,3,3,2,3,0.01961,1.76471,4,4,2,88,4
400,0.55,0.15,200,22,99,30,25.5,16,201,-11.25026,1,3,3,3,1,0.03175,0.52381,4,4,2,150,4
400,0.55,0.2,200,22,99,40,32,14,227,-9.25894,1,3,3,3,2,0.01389,1.08333,4,4,3,88,4
400,0.55,0.25,200,22,99,50,37.5,12,249,-7.573,1,3,3,3,3,0.00823,1.66667,4,4,3,150,4
400,0.55,0.3,200,22,99,60,42,1,267,-6.0893,1,3,4,1,1,0.33333,0.61111,4,4,4,88,4
400,0.55,0.35,200,22,99,70,45.5,8,281,-4.74257,1,3,4,1,2,0.1,1.26667,4,4,4,150,4
400,0.55,0.4,200,22,99,80,48,6,291,-3.48795,0.99976,3,4,1,3,0.04762,1.92857,1,1,1,88,1
400,0.6,0.15,200,240,96,30,25.5,180,198,-12.75651,1,3,4,2,1,0.08333,0.55556,1,1,1,150,1
400,0.6,0.2,200,240,96,40,32,160,224,-10.65704,1,3,4,2,2,0.03125,1.16667,1,1,2,88,1
400,0.6,0.25,200,240,96,50,37.5,140,246,-8.8942,1,3,4,2,3,0.01667,1.8,1,1,2,150,1
400,0.6,0.3,200,240,96,60,42,120,264,-7.35472,1,3,4,3,1,0.0303,0.5303,1,1,3,88,1
400,0.6,0.35,200,240,96,70,45.5,100,278,-5.96761,1,3,4,3,2,0.01282,1.10256,1,1,3,150,1
400,0.6,0.4,200,240,96,80,48,80,288,-4.68458,1,3,4,3,3,0.00741,1.7,1,1,4,88,1
400,0.7,0.15,200,280,84,30,25.5,220,186,-16.09452,1,4,2,1,1,0.42857,0.57143,1,1,4,150,1
400,0.7,0.2,200,280,84,40,32,200,212,-13.70172,1,4,2,1,2,0.15,1.2,1,2,1,88,3
400,0.7,0.25,200,280,84,50,37.5,180,234,-11.73428,1,4,2,1,3,0.07692,1.84615,1,2,1,150,3
400,0.7,0.3,200,280,84,60,42,160,252,-10.04756,1,4,2,2,1,0.07895,0.52632,1,2,2,88,3
400,0.7,0.35,200,280,84,70,45.5,140,266,-8.55329,1,4,2,2,2,0.03409,1.09091,1,2,2,150,3
400,0.7,0.4,200,280,84,80,48,120,276,-7.19305,1,4,2,2,3,0.02,1.68,1,2,3,88,3
400,0.8,0.15,200,320,64,30,25.5,260,166,-20.14111,1,4,2,3,1,0.02564,0.51282,1,2,3,150,3
400,0.8,0.2,200,320,64,40,32,240,192,-17.28442,1,4,2,3,2,0.0119,1.04762,1,2,4,88,3
400,0.8,0.25,200,320,64,50,37.5,220,214,-15.00471,1,4,2,3,3,0.00741,1.6,1,2,4,150,3
400,0.8,0.3,200,320,64,60,42,200,232,-13.09782,1,4,3,1,1,0.35294,0.58824,1,3,1,88,3
400,0.8,0.35,200,320,64,70,45.5,180,246,-11.4445,1,4,3,1,2,0.11538,1.23077,1,3,1,150,3
400,0.8,0.4,200,320,64,80,48,160,256,-9.96875,1,4,3,1,3,0.05714,1.88571,1,3,2,88,3
500,0.4,0.15,250,200,120,37.5,31.875,125,247.5,-7.91374,1,4,3,2,1,0.07317,0.53659,1,3,2,150,3
500,0.4,0.2,250,200,120,50,40,100,280,-5.94626,1,4,3,2,2,0.03,1.12,1,3,3,88,3
500,0.4,0.25,250,200,120,62.5,46.875,75,307.5,-4.24848,0.99999,4,3,2,3,0.01695,1.72881,1,3,3,150,3
500,0.4,0.3,250,200,120,75,52.5,50,330,-2.72489,0.99678,4,3,3,1,0.02469,0.51852,1,3,4,88,3
500,0.4,0.35,250,200,120,87.5,56.875,25,347.5,-1.31428,0.90562,4,3,3,2,0.01111,1.06667,1,3,4,150,3
500,0.4,0.4,250,200,120,100,60,0,360,0.02635,0.48949,4,3,3,3,0.00673,1.63636,1,4,1,88,5
500,0.45,0.15,250,225,123.75,37.5,31.875,150,251.25,-9.43166,1,4,4,1,1,0.3,0.6,1,4,1,150,5
500,0.45,0.2,250,225,123.75,50,40,125,283.75,-7.39097,1,4,4,1,2,0.09375,1.25,1,4,2,88,5
500,0.45,0.25,250,225,123.75,62.5,46.875,100,311.25,-5.63986,1,4,4,1,3,0.04545,1.90909,1,4,2,150,5
500,0.45,0.3,250,225,123.75,75,52.5,75,333.75,-4.07799,0.99998,4,4,2,1,0.06818,0.54545,1,4,3,88,5
500,0.45,0.35,250,225,123.75,87.5,56.875,50,351.25,-2.64117,0.99587,4,4,2,2,0.02679,1.14286,1,4,3,150,5
500,0.45,0.4,250,225,123.75,100,60,25,363.75,-1.28459,0.90053,4,4,2,3,0.01471,1.76471,1,4,4,88,5
500,0.5,0.15,250,250,125,37.5,31.875,175,252.5,-10.98158,1,4,4,3,1,0.02381,0.52381,1,4,4,150,5
500,0.5,0.2,250,250,125,50,40,150,285,-8.85562,1,4,4,3,2,0.01042,1.08333,2,1,1,88,3
500,0.5,0.25,250,250,125,62.5,46.875,125,312.5,-7.04278,1,4,4,3,3,0.00617,1.66667,2,1,1,150,3
500,0.5,0.3,250,250,125,75,52.5,100,335,-5.43627,1,2,2,1,1,0.6,0.6,2,1,2,88,3
500,0.5,0.35,250,250,125,87.5,56.875,75,352.5,-3.96805,0.99996,2,2,1,2,0.1875,1.25,2,1,2,150,3
500,0.5,0.4,250,250,125,100,60,50,365,-2.59095,0.99521,2,2,1,3,0.09091,1.90909,2,1,3,88,3
500,0.55,0.15,250,275,123.75,37.5,31.875,200,251.25,-12.58606,1,2,2,2,1,0.13636,0.54545,2,1,3,150,3
500,0.55,0.2,250,275,123.75,50,40,175,283.75,-10.35923,1,2,2,2,2,0.05357,1.14286,2,1,4,88,3
500,0.55,0.25,250,275,123.75,62.5,46.875,150,311.25,-8.47396,1,2,2,2,3,0.02941,1.76471,2,1,4,150,3
500,0.55,0.3,250,275,123.75,75,52.5,125,333.75,-6.81489,1,2,2,3,1,0.04762,0.52381,2,2,1,88,2
500,0.55,0.35,250,275,123.75,87.5,56.875,100,351.25,-5.30903,1,2,2,3,2,0.02083,1.08333,2,2,1,150,2
500,0.55,0.4,250,275,123.75,100,60,75,363.75,-3.9062,0.99995,2,2,3,3,0.01235,1.66667,2,2,2,88,2
500,0.6,0.15,250,300,120,37.5,31.875,225,247.5,-14.27016,1,2,3,1,1,0.46154,0.61538,2,2,2,150,2
500,0.6,0.2,250,300,120,50,40,200,280,-11.92241,1,2,3,1,2,0.13636,1.27273,2,2,3,88,2
500,0.6,0.25,250,300,120,62.5,46.875,175,307.5,-9.95114,1,2,3,1,3,0.06452,1.93548,2,2,3,150,2
500,0.6,0.3,250,300,120,75,52.5,150,330,-8.2297,1,2,3,2,1,0.12,0.56,2,2,4,88,2
500,0.6,0.35,250,300,120,87.5,56.875,125,347.5,-6.6787,1,2,3,2,2,0.04412,1.17647,2,2,4,150,2
500,0.6,0.4,250,300,120,100,60,100,360,-5.24411,1,2,3,2,3,0.02326,1.81395,2,3,1,88,3
500,0.7,0.15,250,350,105,37.5,31.875,275,232.5,-18.00242,1,2,3,3,1,0.04444,0.53333,2,3,1,150,3
500,0.7,0.2,250,350,105,50,40,250,265,-15.32666,1,2,3,3,2,0.01852,1.11111,2,3,2,88,3
500,0.7,0.25,250,350,105,62.5,46.875,225,292.5,-13.12664,1,2,3,3,3,0.01058,1.71429,2,3,2,150,3
500,0.7,0.3,250,350,105,75,52.5,200,315,-11.24055,1,2,4,1,1,0.375,0.625,2,3,3,88,3
500,0.7,0.35,250,350,105,87.5,56.875,175,332.5,-9.56973,1,2,4,1,2,0.10714,1.28571,2,3,3,150,3
500,0.7,0.4,250,350,105,100,60,150,345,-8.04881,1,2,4,1,3,0.05,1.95,2,3,4,88,3
500,0.8,0.15,250,400,8,37.5,31.875,325,207.5,-22.52712,1,2,4,2,1,0.10714,0.57143,2,3,4,150,3
500,0.8,0.2,250,400,8,50,40,300,240,-19.33264,1,2,4,2,2,0.0375,1.2,2,4,1,88,6
500,0.8,0.25,250,400,8,62.5,46.875,275,267.5,-16.78342,1,2,4,2,3,0.01923,1.84615,2,4,1,150,6
500,0.8,0.3,250,400,8,75,52.5,250,290,-14.65114,1,2,4,3,1,0.04167,0.54167,2,4,2,88,6
500,0.8,0.35,250,400,8,87.5,56.875,225,307.5,-12.80247,1,2,4,3,2,0.01667,1.13333,2,4,2,150,6
500,0.8,0.4,250,400,8,100,60,200,320,-11.15239,1,2,4,3,3,0.00926,1.75,2,4,3,88,6
600,0.4,0.15,300,240,144,45,38.25,150,297,-8.67487,1,3,2,1,1,0.5,0.58333,2,4,3,150,6
600,0.4,0.2,300,240,144,60,48,120,336,-6.51926,1,3,2,1,2,0.16667,1.22222,2,4,4,88,6
600,0.4,0.25,300,240,144,75,56.25,90,369,-4.65918,1,3,2,1,3,0.08333,1.875,2,4,4,150,6
600,0.4,0.3,300,240,144,90,63,60,396,-2.98999,0.99861,3,2,2,1,0.1,0.53333,3,1,1,88,3
600,0.4,0.35,300,240,144,105,68.25,30,417,-1.44462,0.92572,3,2,2,2,0.04167,1.11111,3,1,1,150,3
600,0.4,0.4,300,240,144,120,72,0,432,0.02406,0.4904,3,2,2,3,0.02381,1.71429,3,1,2,88,3
600,0.45,0.15,300,270,148.5,45,38.25,180,301.5,-10.33763,1,3,2,3,1,0.03333,0.51667,3,1,2,150,3
600,0.45,0.2,300,270,148.5,60,48,150,340.5,-8.10182,1,3,2,3,2,0.01515,1.06061,3,1,3,88,3
600,0.45,0.25,300,270,148.5,75,56.25,120,373.5,-6.18333,1,3,2,3,3,0.00926,1.625,3,1,3,150,3
600,0.45,0.3,300,270,148.5,90,63,90,400.5,-4.47221,1,3,3,1,1,0.4,0.6,3,1,4,88,3
600,0.45,0.35,300,270,148.5,105,68.25,60,421.5,-2.89813,0.99812,3,3,1,2,0.125,1.25,3,1,4,150,3
600,0.45,0.4,300,270,148.5,120,72,30,436.5,-1.41198,0.92102,3,3,1,3,0.06061,1.90909,3,2,1,88,3
600,0.5,0.15,300,300,150,45,38.25,210,303,-12.03546,1,3,3,2,1,0.09091,0.54545,3,2,1,150,3
600,0.5,0.2,300,300,150,60,48,180,342,-9.70625,1,3,3,2,2,0.03571,1.14286,3,2,2,88,3
600,0.5,0.25,300,300,150,75,56.25,150,375,-7.72015,1,3,3,2,3,0.01961,1.76471,3,2,2,150,3
600,0.5,0.3,300,300,150,90,63,120,402,-5.96012,1,3,3,3,1,0.03175,0.52381,3,2,3,88,3
600,0.5,0.35,300,300,150,105,68.25,90,423,-4.35164,0.99999,3,3,3,2,0.01389,1.08333,3,2,3,150,3
600,0.5,0.4,300,300,150,120,72,60,438,-2.84302,0.99777,3,3,3,3,0.00823,1.66667,3,2,4,88,3
600,0.55,0.15,300,330,148.5,45,38.25,240,301.5,-13.7931,1,3,4,1,1,0.33333,0.61111,3,2,4,150,3
600,0.55,0.2,300,330,148.5,60,48,210,340.5,-11.35339,1,3,4,1,2,0.1,1.26667,3,3,1,88,3
600,0.55,0.25,300,330,148.5,75,56.25,180,373.5,-9.28793,1,3,4,1,3,0.04762,1.92857,3,3,1,150,3
600,0.55,0.3,300,330,148.5,90,63,150,400.5,-7.47033,1,3,4,2,1,0.08333,0.55556,3,3,2,88,3
600,0.55,0.35,300,330,148.5,105,68.25,120,421.5,-5.82062,1,3,4,2,2,0.03125,1.16667,3,3,2,150,3
600,0.55,0.4,300,330,148.5,120,72,90,436.5,-4.28382,0.99999,3,4,2,3,0.01667,1.8,3,3,3,88,3
600,0.6,0.15,300,360,144,45,38.25,270,297,-15.63798,1,3,4,3,1,0.0303,0.5303,3,3,3,150,3
600,0.6,0.2,300,360,144,60,48,240,336,-13.0658,1,3,4,3,2,0.01282,1.10256,3,3,4,88,3
600,0.6,0.25,300,360,144,75,56.25,210,369,-10.90613,1,3,4,3,3,0.00741,1.7,3,3,4,150,3
